Time,AF3,AF4,F7,F3,F4,F8,FC5,FC6,T7,T8,P7,P8,O1,O2,AF3_Delta,AF4_Delta,F7_Delta,F3_Delta,F4_Delta,F8_Delta,FC5_Delta,FC6_Delta,T7_Delta,T8_Delta,P7_Delta,P8_Delta,O1_Delta,O2_Delta,AF3_Delta2,AF4_Delta2,F7_Delta2,F3_Delta2,F4_Delta2,F8_Delta2,FC5_Delta2,FC6_Delta2,T7_Delta2,T8_Delta2,P7_Delta2,P8_Delta2,O1_Delta2,O2_Delta2
6000.0,0.3567393422,6.9590497017,4.4178023338,4.5678215027,6.0464043617,4.1834402084,8.545876502999999,4.8411655426,1.2263505459,3.6762609482,6.1494212151,5.8000874519000005,9.5634555817,0.17913380269999998,0.02447709440000001,1.9171118736,0.4605422020000001,1.2246322632000002,1.1373214722,0.3029770851000011,0.9979152679000016,2.0761942863,2.5304121970999995,5.3239870071,0.5656461714999992,0.8018102645999994,3.0815629959000006,-0.1313754432,0.07352802160000002,2.7131912708500003,1.732760191,2.45780324935,0.6658332347499996,1.3024525642499991,2.286423683199999,0.4835104943000004,2.35414469245,-2.5677433013499997,-2.1358069180999992,1.5131008625000004,-0.16751098635000086,2.6797909103
6007.8125,0.3812164366,8.8761615753,4.8783445358,5.7924537659,7.1837258339,4.486417293500001,9.5437917709,6.9173598289,3.756762743,9.000247955299999,6.7150673866,6.6018977165,12.6450185776,0.0477583595,0.09800511600000003,4.63030314445,2.193302393,3.68243551255,1.80315470695,1.6054296493500004,3.2843389511000005,2.5597047806,4.88455688955,2.7562437057499998,-1.5701607466,2.3149111271000002,2.91405200955,2.5484154671,-0.010848507274999988,1.1578204632000002,0.65797543525,0.9735653400249996,-0.19736182692500012,0.2455610036999993,0.21730065349999886,-0.7617529630249995,1.2573694586750004,-3.107840538,-1.8441278486999997,0.4027808904750003,-1.0225374698750005,1.6488590249749997
6015.625,0.5527495742,16.2196559906,8.8044071198,11.9326925278,9.652713775599999,7.3942995071,15.1145544052,9.9605751038,10.995464325,9.1887483597,3.0090997219,10.4299097061,15.391559600799999,5.2759647369,0.002780079850000033,4.2327528,1.7764930725,3.17176294325,0.7425978183499997,0.7940990924999998,1.4325165748999993,0.5526883602500008,5.04515111445,-0.8916940688999997,-3.1226095259,1.60737204555,1.0364880561499996,3.16634260675,-0.16019598955000006,-3.4987360239,-2.4070305228500004,-3.3417648076999997,-1.9661477804,-2.3713712692250004,-4.575896918775,-2.9400507212000004,-2.809680759925,-1.557177782075,0.461889773625,-2.535501837725,-1.9955275058499995,-2.4827680289500003
6023.4375,0.3867765963000001,17.3416671753,8.4313306808,12.1359796524,8.668921470599999,6.0746154785,12.408824920699999,8.022736549400001,13.8470649719,7.2168598175,0.4698483348,9.8166418076,14.7179946899,6.380443572999999,-0.2223868631,-2.36716890335,-2.6207586527,-3.00109410285,-2.12914085385,-3.1373128891000004,-5.86745488645,-3.3203966618000003,-0.7348046303000002,-0.35811185840000004,-0.6463811993500002,-2.7560925483500003,-1.0770030021499988,-2.4171205908,-0.07684282212500003,-3.4210729599,-1.664516091325,-2.72166240215,-0.6666573285749997,-0.956129431725,-1.8272536993249997,-0.3826098442250008,-3.242936074725,1.7195947170249997,2.8086693584750004,-1.425983190575,-0.5151278972249997,-2.4966398431
6031.25,0.107975848,11.4853181839,3.5628898144,5.9305043221,5.3944320679,1.1196737289,3.3796446323,3.3197817802,9.5258550644,8.4725246429,1.7163373232,4.9177246094,13.237553596500002,0.4417235553,-0.15090556440000005,-2.6093931198,-1.55253911015,-2.27156186105,-0.5907168387999997,-1.11815977095,-2.2219908237499992,-0.2125313282000008,-1.440721035,2.54749536515,2.49472919105,-1.2445943356,0.006232261700000129,-1.8269370794499995,0.07314506174999999,3.61223220825,3.4550892114750003,3.967298269250001,3.2148447036500003,3.9362673759500004,6.905087590225,4.920606374775001,3.4273715019249997,2.330760717425,2.6268533468250004,4.080023527124999,2.651155948625,4.080999031675
6039.0625,0.0849654675,12.1228809357,5.3262524605,7.5928559303,7.487487793,3.8382959366,7.9648432732,7.597673893,10.9656229019,12.311850547799999,5.4593067169000005,7.3274531364,14.7304592133,2.7265694141,-0.0760967396,4.85729551315,4.289419770249999,4.93350243565,4.3005485534500005,4.7352218628,7.942720294000001,6.520816087749998,6.11993837355,4.30340957645,4.6073254943,5.403954505900001,4.2253088950999995,5.74487747255,0.13060729202500002,3.2065143585,1.968362569775,2.86009931565,1.0868854522500002,1.5863077640500003,3.0268976688249998,1.1795084476500004,2.49763298035,-1.2387149333999994,-1.9695668369500003,1.813835859325,0.6828660964750002,2.45437395575
6046.875,-0.0442176312,21.1999092102,12.1417293549,15.7975091934,13.9955291748,10.5901174545,19.2650852203,16.361413955699998,21.7657318115,17.0793437958,10.9309883118,15.725633621199998,21.688171386700002,11.931478500399999,0.11030901964999999,3.8036355972,2.3841860294,3.44863677025,1.5830540657000007,2.0544557571500004,3.8318045139,2.1464855671,3.5545449256999992,0.07006549835000088,-1.4444044828500002,2.3830773830500003,1.3719644546500005,3.0818108320500004,0.167888881625,-4.940372705450001,-3.9445105195249996,-4.361316561675,-4.63999581335,-4.214737057674999,-6.943811953050001,-6.365589141849999,-6.436275005325,-5.622876167325,-6.313495963825001,-5.41091024875,-5.76434504985,-4.9412360266
6054.6875,0.3055835068,19.7301521301,10.0946245193,14.4901294708,10.653595924400001,7.9472074509000015,15.628452301,11.8906450272,18.0747127533,12.4519815445,2.5704977512,12.0936079025,17.4743881226,8.8901910782,0.25968102365,-5.023449897750001,-3.5996012688000003,-3.7891306876999997,-4.97944307325,-3.69425225255,-5.9449036121,-6.210362195949999,-6.7526116371,-6.942342758200001,-8.01966643335,-5.4178659915999985,-7.3033812046,-4.137594580649999,-0.1113928463,-4.20432448385,-2.348132371875,-3.428962230675,-2.186921596525001,-2.0118032694000005,-3.956011056875,-2.838107705125,-3.8136234283499992,-2.4706572890250005,0.16489005090000008,-2.6313734054500006,-3.1337792873500003,-2.2909616828250003
6062.5,0.4751444161,11.1530094147,4.9425268173,8.219247818,4.0366430282999985,3.2016129494,7.3752779961,3.9406895638,8.2605085373,3.1946582794,-5.1083445549,4.889901638,7.0814089775,3.6562893391,-0.11247667295,-4.605013370499999,-2.31207871435,-3.4092876911000003,-2.7907891273500005,-1.96915078165,-4.08021759985,-3.52972984315,-4.072701930999998,-4.8712490797,-1.11462438105,-2.879669427850001,-4.89559412005,-1.5001125336000003,-0.258234892975,2.0341603755750004,1.4906918406750005,1.3606549501249998,2.441705703725,1.5530029534999998,2.130682229975,3.0731077193999994,3.9037935733749998,4.0545961857,5.203291550275001,2.61476147175,3.8082485199,2.1976166963499995
6070.3125,0.0806301609,10.5201253891,5.4704670906,7.6715540886,5.0720176697,4.0089058876,7.4680171013,4.831185340899999,9.9293088913,2.7094833851,0.3412489891,6.334269046799999,7.6831998825,5.889966011,-0.25678876230000003,-0.9551291465999999,-0.61821758745,-1.06782078745,-0.09603166579999957,-0.5882463455499998,-1.6835391521500005,-0.06414675715000008,1.0549755096500002,1.1668496132000004,2.3869166672000004,-0.18834304810000013,0.3131158352000001,0.25763881204999994,0.043559341675,0.8671298026999994,0.06932297347500005,0.6699598431499998,0.4110514819500002,0.05770900847500005,0.4948128759750001,1.3515723943750002,1.4001078605749997,3.7974177599,-0.30792725087499984,0.15259003637500035,1.4856518507249998,-0.2698691189
