Time,AF3,AF4,F7,F3,F4,F8,FC5,FC6,T7,T8,P7,P8,O1,O2,AF3_Delta,AF4_Delta,F7_Delta,F3_Delta,F4_Delta,F8_Delta,FC5_Delta,FC6_Delta,T7_Delta,T8_Delta,P7_Delta,P8_Delta,O1_Delta,O2_Delta,AF3_Delta2,AF4_Delta2,F7_Delta2,F3_Delta2,F4_Delta2,F8_Delta2,FC5_Delta2,FC6_Delta2,T7_Delta2,T8_Delta2,P7_Delta2,P8_Delta2,O1_Delta2,O2_Delta2
8000.0,-0.6111923456,5.884592533099999,10.0042276382,15.281436920199999,-12.246663093599999,-6.6722593307,-0.868801713,-0.1645861119,-1.2013124228,-5.3889522552,-1.9784297943,7.2294516563,-8.8545684814,13.267814636199999,-1.453622222,-2.8456106185999994,-2.4385881423999995,-2.7694530486999973,-0.4604244232000028,-0.499883174899999,2.7206577063,6.4573917835999985,1.9203689695,11.5366649627,3.0638160705,-0.4535851478000002,4.962066650299999,0.6595630646000004,0.8528571725499999,-1.4481163025,-1.4387465715000003,-2.7329897881000016,2.637351989750002,0.6490607261499988,-4.0009043813,-3.0143125281,-0.16241717340000014,-7.456871509500001,-2.807118535,-2.68586009745,-1.6339949368999989,-5.59150218965
8007.8125,-2.0648145676,3.0389819145,7.5656394958,12.511983871500002,-12.707087516800001,-7.172142505599999,1.8518559933,6.292805671699999,0.7190565467,6.1477127075,1.0853862762,6.7758665085,-3.8925018311,13.9273777008,-0.6007650494499999,-4.293726921099998,-3.8773347139,-5.502442836799999,2.1769275665499994,0.14917755124999976,-1.280246675,3.4430792555000003,1.7579517961000002,4.0797934532,0.2566975355,-3.1394452452499997,3.3280717133999995,-4.93193912505,1.5131351352000002,-1.902401328075,-1.6873468160500005,-2.8429403305250016,1.5940073728500022,0.6819032430499992,-3.08303642275,-5.063081525274999,-1.703331247,-8.392408013299999,-3.8354797363,-2.68844842915,-2.9823383092249998,-6.057328462599998
8015.625,-1.8127224445,-2.7028613091,2.2495582104,4.2765512466,-7.8928079605,-6.373904228200001,-3.429295063,6.7215723990999985,2.3145911694,2.7706346512,-1.4650347233,0.9505611658,-2.1984250546,3.4039363861000003,1.5726480484,-6.650413274749999,-5.8132817745,-8.45533370975,2.727590322500001,0.8639233111999993,-3.4454151392,-3.66877126695,-1.4862935245,-5.2481510639,-4.607143402099999,-5.8304820061,-1.00260996815,-11.455093860599996,0.731591403475,-0.6342128515000001,-1.040395855925,-1.0124616622500002,-0.9928013086499998,1.5233232975000004,1.3743346929500002,-4.224228452875,-2.85700747375,-3.1232174635,-2.307561755175,-0.7487768530999999,-2.27839970585,-1.6338903904
8023.4375,1.0804815292,-10.261844635,-4.0609240532,-4.398683548,-7.251906871799999,-5.444295883200001,-5.0389742851,-1.0447368622,-2.2535305023,-4.3485894203,-8.128900527999999,-4.8850975037,-5.8977217674,-8.982810020399999,0.8624177574999999,-5.5621526240999986,-5.958126425750001,-7.5273661613,0.19132494924999974,3.195824146250001,1.4684227109,-5.00537765025,-3.9560631514,-2.1666414738,-4.3584259748499985,-4.63699895145,-1.2287276983,-8.199719905850001,-1.750121772275,3.5090519189749987,0.6328485011999998,2.9935588837000005,-1.357348561300001,0.7378102690250006,1.8320633768999999,0.8447570800999997,-1.4720806032500002,2.7579366564499996,1.7615127563499997,1.6066889763000003,1.91634368895,5.293190002424998
8031.25,-0.08788692949999999,-13.8271665573,-9.6666946411,-10.778181076,-7.510158062,0.0177440643,-0.4924496412,-3.2891829014,-5.5975351334,-1.5626482964,-10.181886673,-8.3234367371,-4.6558804512,-12.995503425599999,-1.92759549615,0.3676905631999992,-4.5475847721,-2.46821594235,0.012893199899999264,2.3395438492500005,0.2187116146000001,-1.9792571067500002,-4.430454731,0.2677222489999997,-1.0841178894,-2.6171040535,2.8300774097500003,-0.8687138557500012,-1.3964774608500001,3.053757548325,1.4282233118999996,4.8871490955,-1.2282810210999997,-3.186461687075,-3.913577497025,0.6940712928749999,-1.6477363705249994,-1.5679283141750002,1.80551832915,1.191054016375,0.8919240832249999,3.402714252475
8039.0625,-2.7747094631,-9.526463508600001,-13.1560935974,-9.3351154327,-7.226120472000001,-0.7652081847,-4.6015510559,-5.0032510757,-11.1144399643,-3.8131449223,-10.297136306799999,-10.1193056107,-0.2375669479,-10.720237731900001,-1.9305371641999998,0.5453624725499999,-3.1016798019500005,2.2469320297,-2.26523709295,-3.1770992279000003,-6.35873228315,-3.6172350645,-7.251535892449999,-5.3024981021499995,-0.7473893165499996,-2.2548909187,0.5551204681499999,-1.3942914009000005,0.7328509688250001,-2.1382012367249987,3.234535813325,2.1968809366000004,-1.926909804325,-2.6969167292250003,-1.6608487367499998,-0.3154318333000001,-0.8137383461000005,-1.7727251052499997,1.3053827285749997,1.612603426,-3.453992486,-0.5848774909999991
8046.875,-3.9489612579,-12.7364416122,-15.870054245,-6.284317016599998,-12.0406322479,-6.3364543914999985,-13.2099142075,-10.5236530304,-20.1006069183,-12.1676445007,-11.676665306099999,-12.8332185745,-3.5456395149,-15.7840862274,-0.4618935584999999,-3.9087119102499988,1.9214868545499997,1.9255459308500005,-3.84092640875,-3.0542896092,-3.1029858588999994,-2.6101207733500003,-6.0579314232,-3.2777279615,1.5266475677499995,0.6081027985,-4.07790756225,-2.038468837749999,1.2848663031999998,0.28700280187499994,5.455669224275002,-0.1942170858250002,1.0052975415999996,1.822568655025,4.781808406150001,3.156695544725,4.912814140299999,5.86652374265,3.3756589889499997,4.25923530755,0.43772923945000003,3.663894176475
8054.6875,-3.6984965801,-17.3438873291,-9.313119888300001,-5.484023571,-14.907973289500001,-6.8737874031,-10.807522773699999,-10.2234926224,-23.230302810700003,-10.3686008453,-7.2438411713,-8.9031000137,-8.3933820724,-14.7971754074,0.6391954422000001,1.1193680762999998,7.8096586466,1.85849785805,-0.2546420097500004,0.4680380821499997,3.2048845291500005,2.69615602495,2.5740923881499995,6.430549383150001,6.003928661349999,6.2635796964,1.43057894705,5.9334969520500005,1.2414781004000002,6.303362846375,2.6606737375250007,0.7442845702249998,3.807774782175001,2.379098251475,3.1624124049999995,3.4609625041750003,9.7404150963,8.1203679442,3.0049750805,3.953254699675,7.800012588475001,5.671697497375
8062.5,-2.6705703735,-10.4977054596,-0.2507369518,-2.5673213005,-12.5499162674,-5.4003782272,-6.8001451492,-5.1313409805,-14.952422142,0.6934542656,0.3311920166,-0.3060591817,-0.6844816208,-3.9170923233,2.0210626423,8.6980137825,7.2428343296,3.4141150713,3.774623155600001,1.70390689375,3.2218389511,4.311804235,13.4228987694,12.963007926900001,7.536597728749999,8.51461219785,11.5221176147,9.304926157,0.6450178622999999,3.2069880962500004,-2.11736118795,0.6540340781250001,0.9828586578500004,0.5017557740000002,0.17655835297499967,0.08189381657500006,6.846001148225,2.5282895565,-0.33578515052499913,-0.07685527204999998,3.4557105302999997,-0.08794260024999989
8070.3125,0.34362870450000005,0.0521402359,5.1725487709,1.3442065716,-7.3587269783,-3.4659736156,-4.3638448715,-1.5998841524,3.6154947281,15.5574150085,7.8293542862,8.126124382,14.650853157,3.8126769066,1.9292311668000002,7.5333442688,3.5749362707000003,3.1665660143000003,1.7110753059500006,1.47154963015,3.5580012351,2.8599436581,16.2660946846,11.48712849615,5.332358360300001,6.1098691523,8.34200000765,5.75761175155,-0.6441403329000001,-4.2812809795249995,-3.4085797071500004,-1.185892879975,-4.525751590725001,-1.8658761978250005,-0.957631468775,-1.8473626747750005,-5.159415006650001,-7.233250379525,-4.477018713974999,-3.86989855765,-7.810757398574999,-3.8883728981
