Time,AF3,AF4,F7,F3,F4,F8,FC5,FC6,T7,T8,P7,P8,O1,O2,AF3_Delta,AF4_Delta,F7_Delta,F3_Delta,F4_Delta,F8_Delta,FC5_Delta,FC6_Delta,T7_Delta,T8_Delta,P7_Delta,P8_Delta,O1_Delta,O2_Delta,AF3_Delta2,AF4_Delta2,F7_Delta2,F3_Delta2,F4_Delta2,F8_Delta2,FC5_Delta2,FC6_Delta2,T7_Delta2,T8_Delta2,P7_Delta2,P8_Delta2,O1_Delta2,O2_Delta2
0.0,-0.7421301007,-11.0115804672,-4.4419169426,3.8529546261,-4.8478593826,-1.3531167507,-1.1992331743,-1.7029621601,-3.7312839031,1.4278328419,-3.0503742695,-3.0610294342,-0.3313660622,-10.7994937897,3.7543767094,-2.7776708603000007,-0.6742234229999999,-8.933398962,-4.712215423599999,-4.8502018452,-1.6089760065,-4.2912971974000005,-1.2053310870999998,-13.269287347799999,-3.3488438129,-1.4227046966999994,-8.7490935325,-4.036946296700002,0.032744735550000126,0.4435563087500008,0.3760402202499997,3.5493439435499994,-1.9104952812000018,1.0692344904000004,-0.71120578055,1.2841144800499995,-1.39469611645,1.5846668481999997,2.99197173115,1.1641569137999994,2.0889213084500007,1.2938795090000008
7.8125,3.0122466087,-13.7892513275,-5.1161403656,-5.080444335899999,-9.5600748062,-6.2033185959,-2.8082091808,-5.9942593575,-4.9366149902,-11.8414545059,-6.3992180824,-4.483734130899999,-9.0804595947,-14.836440086400001,3.78712144495,-2.33411455155,-0.2981832027500002,-5.384055018450002,-6.622710704800001,-3.7809673548,-2.32018178705,-3.00718271735,-2.60002720355,-11.684620499600001,-0.3568720817500002,-0.25854778289999997,-6.660172224049998,-2.743066787700001,-2.099718660075,2.6876738071500004,2.167753517625,5.989237934325,0.9914274215749992,2.115530729325,0.332617521275,2.4701942205750003,-0.2347832918249999,6.172819972025,4.2867426872,2.5280787945,5.0226653813999995,4.292013168350001
15.625,6.8321127892,-15.6798095703,-5.0382833481,-6.915155410800001,-18.0932807922,-8.915051460299999,-5.8395967484,-7.7173275948,-8.9313383102,-21.9414081573,-3.764118433,-3.578125,-13.6517105103,-16.2856273651,-0.4450606107499999,2.597676754,3.66128361225,3.0450769066499994,-2.7293605804500007,-0.6191403865499998,-0.94374096395,0.64909124375,-1.6748976707499996,-0.9236474037499997,5.2246415614999995,3.6334528923000002,1.2962372303000005,4.547080040000001,-5.0053162128,4.5697064399750005,2.653562426575,5.271337449574999,5.761293649675001,2.2639990449250003,1.1530327499250002,2.48080009225,1.4303272366249995,10.86247247455,3.2441173195750004,2.2919845581000002,7.370386958125,5.9760308265500015
23.4375,2.1221253872,-8.5938978195,2.2064268589,1.0097094774,-15.0187959671,-7.441599368999999,-4.6956911087,-4.69607687,-8.286410331699999,-13.688749313399999,4.0500650406,2.7831716537,-6.4879851341,-5.7422800064,-6.22351098065,6.8052983284,5.008941650400001,5.1586198807,4.899876594550001,0.7470307350499996,-0.0141162871999998,1.95441746715,0.2606272696999996,10.0403244495,6.1313625574,4.3254213333,8.0806016922,9.2089948654,-1.1747739315250003,0.4676105380000002,-1.422138392925,-2.147097855775,3.5460321903250005,1.5714941024499998,0.7225189805000002,0.2497954964749999,1.4905488490999996,4.376716434975,-1.450556159025,-0.948171496375,4.380660057049998,-0.3867471814250005
31.25,-5.6149091721,-2.0692129135,4.9795999527,3.4020843506,-8.2935276031,-7.4209899902,-5.8678293228,-3.8084926605,-8.4100837708,-1.8607592583,8.4986066818,5.0727176666,2.5094928741,2.1323623657,-2.7946084738000003,3.5328978300000005,0.8170068264000001,-1.2491188049000002,4.362703800199999,2.52384781835,0.5012969970500003,1.1486822366999998,1.3062000274499996,7.8297854662,2.3235292434500003,1.7371098995499996,10.057557344400001,3.77358567715,5.462289869825,-3.6147446632499998,-2.8349085450250007,-4.8913606405499985,-2.0377351045750007,2.211228847475,2.06270891425,0.013031661500000014,3.2132788897,-5.0457729101,-3.0692241787750003,-1.4782397746999996,-0.9386031627499998,-5.727622866625
39.0625,-3.4670915604,-1.5281021595,3.8404405117,-1.4885281324,-6.2933883667,-2.3939037323,-3.6930971146,-2.3987123966,-5.6740102768,1.970821619,8.6971235275,6.2573914527999985,13.6271295547,1.8048913479,4.701068759,-0.42419099810000027,-0.6608754396500003,-4.6241014004,0.8244063853999997,5.16948843,4.1113015413,1.98048079015,6.6871850491,-0.05122137069999999,-0.0070858001500004875,1.3689417839000004,6.203395366700001,-2.24625086785,2.6259390116000003,-2.5589315891249997,-0.9505246281500002,-1.0292609036249998,-1.2185678482000002,-0.5882971584749999,1.3538197875249998,-0.4064918458749998,2.6357419491,-5.658658981325001,-2.1081987619249998,-1.5955927372249996,-7.522159457174999,-4.0285241604
46.875,3.7872283459,-2.9175949097000005,3.6578490734,-5.8461184502,-6.6447148323,2.9179868698,2.3547737598,0.1524689198,4.9642863274,-1.9632019997,8.4844350815,7.810601234400001,14.9162836075,-2.36013937,2.4572695494000003,-1.58496534825,-1.0840424299000002,-3.30764061215,1.9255681038,1.3472535013999998,3.2089365721,0.3356985449500002,6.577683925650001,-3.4875324964499996,-1.8928682803999999,-1.4540755748999996,-4.98676156995,-4.28346264365,-4.410294890425,-0.2918188571749997,-0.9801956713249996,1.8514093160749998,1.8102312684250004,-3.0922118127249996,-3.59924960135,-2.079623341575,-3.429019928,-0.39659190177500003,-3.000729620475,-3.4579756259750005,-6.841854870350001,-0.4954998492999998
54.6875,1.4474475384,-4.698032856,1.6723556519,-8.1038093567,-2.4422521591,0.3006032705,2.7247760296,-1.7273153066999998,7.4813575745,-5.0042433739,4.9113869667,3.349240303,3.6536064148,-6.7620339394,-4.11952102185,-1.0078287124499996,-2.6212667823,-0.9212827682499998,4.44486892225,-1.01493519545,-3.0871976614000003,-2.1787658930000005,-0.17085480690000002,-0.84440517425,-6.0085450411000005,-5.547009468050001,-7.480314374000001,-3.2372505664499998,-2.2244436740999998,2.0745830983,0.5239322781250002,3.65514997395,0.6022555828000004,1.2603262066999998,-2.3394290209,0.24707650767499986,-2.3960185051250003,4.303508937375,-0.5251803398250001,0.18675929309999967,3.798917293525,3.142281591925
62.5,-4.4518136978,-4.9332523346,-1.5846844912,-7.688683986699999,2.2450230122,0.8881164789,-3.819621563,-4.2050628662000005,4.6225767136,-3.6520123482,-3.5326550007,-3.2834177017000004,-0.0443451405,-8.8346405029,-1.9916177988,2.56420084835,-0.03617787364999992,4.00265933575,3.1300792694000004,3.8679059148,-1.4699214696999998,0.8298515602999998,1.7856469153999992,5.119485378299999,-2.9432289600500003,-1.0805569887000002,2.6110730171000003,2.0011005402000004,3.47420066595,1.4641840159749997,2.503498315825,1.925277024525,-3.2961120009500005,1.912672340875,4.50691729785,2.9448295831749998,2.888570189475,2.8610697984750004,5.44519245625,5.184978008250001,6.2628976107000005,3.4119254946499997
70.3125,-2.5357880592,0.4303688407,1.5999999046000002,-0.0984906852,3.8179063797,8.0364151001,-0.2150669098,-0.0676121861,11.052651405299999,5.2347273827,-0.9750709534,1.1881263256,8.875752449,-2.759832859,2.82888031005,1.9205393195,2.38572984935,2.9292712808,-2.14735507965,2.8104094862999998,5.926636934299999,3.71089327335,5.60628557205,4.877734422700001,4.8818398713999995,4.82294654845,5.0454808474,3.58660042285,2.5983441472,-2.645199984325,0.4333044886749999,-4.510071769375,-3.5126509666500003,-3.93243477495,2.441668093225,-0.5906732901999999,-1.3845114707749993,-3.1124734878750004,3.5932605266750004,2.07079946995,-0.7247724533,-1.4163206816000002
78.125,1.2059469223,-1.0921736956,3.1867752075,-1.8301414251,-2.0496871471,6.5089354515,8.033652305599999,3.2167236805,15.835147857699999,6.103456497200002,6.231024742100001,6.3624753952,10.0466165543,-1.6614396572,3.2050704956000002,-2.7261991202999996,0.8304311036999998,-5.017484203,-3.8952226639,-3.9969636351,3.41341471675,-0.3514950201,-0.9833760261499992,-1.1054615974500002,4.2432920933,3.0610419512,1.1615281105,-0.8315408229999999,-1.3611907661000002,-1.365329921225,-0.8484504521000003,-2.9460323453250004,1.884334981425,-3.0522356797000003,-5.163572624324999,-2.45877714455,-5.268191695224999,-2.6414395570750004,-2.369509875775001,-2.62285625935,-1.8099454045500003,-1.91096162795
85.9375,3.874352932,-5.0220293999,3.260862112,-10.1334590912,-3.9725389481,0.0424878299,6.6117625237,-0.7706022263,9.085899353,3.0238041878,7.5115132332,7.310210228,11.19880867,-4.422914505,0.10649877784999996,-0.8101205229499999,0.6888289451499996,-2.96279340985,1.6213148832000002,-3.2940618731,-4.40050831435,-1.20666101575,-4.930097818399999,-0.4051446914500003,0.1428201198499992,-0.4227659702499995,1.4255900382999993,-0.23532283304999999,-3.61788749695,2.392802715325,0.2532142401000003,4.6227484718000005,3.6156909466000005,2.4656532258,-3.3858571648750004,3.114493723975,0.3632264137249997,1.1877168417,-3.0328647494500003,-2.6137652993500002,-1.761254072175,2.485170364375
93.75,1.418944478,-2.7124147415,4.564433097799999,-7.7557282448,1.1929426193,-0.0791882947,-0.7673643231,0.8034016490000001,5.9749522209000006,5.2931671143,6.516664981799999,5.516943454700002,12.897796630899999,-2.1320853233,-4.0307044982999995,2.05940631035,1.3368595839000004,4.2280127406000005,3.3361592293,0.9343428165000001,-3.358299613,5.87749242785,-0.2569231987,1.2699720859499999,-1.8224374056000003,-2.1664886475,-2.36098003385,4.13879990575,-1.86538916825,-0.17489150167500025,-0.7673745751249996,1.1286980212000002,-1.554344058025,1.603430990125,2.549566686125,2.8701312244,1.7748461961999995,-2.16472876075,-2.5737702846499992,-1.3975704610250004,-3.8206239938749986,1.08156627415
101.5625,-4.1870560646,-0.9032167792,5.9345812798000015,-1.67743361,2.6997795105,1.9111734629,-0.1048367023,10.9843826294,8.5720529556,5.5637483597,3.866638422,2.977232933,6.4768486023000005,3.8546853065,-3.62427955865,-1.1599035263000004,-0.8459202050999997,-0.7053973674499998,-1.48737323285,-0.08719989284999999,0.6986250579000001,4.53360143305,-1.3804054260000005,-4.7346022129500005,-5.00472044945,-3.2179068923000003,-6.21565794945,1.92780971525,2.6841691732500004,-2.7792003452999996,-1.9464337230000004,-6.3090316653,-3.802589058875,-1.914931900825,0.3560695648000003,-6.015902817274999,-2.312336146825,-4.943613886824999,-1.156234622,-0.006350934475000347,-0.2377961576000003,-4.415450692149999
